Index,Budget 2019-2020 Revenue,Budget 2020-2021 Total,Actual 2018-2019 Capital,Budget 2019-2020 Total,Budget 2020-2021 Revenue,Actual 2018-2019 Total,_full_text,Particulars,Revised 2019-2020 Total,Actual 2018-2019 Revenue,Budget 2020-2021 Capital,Revised 2019-2020 Revenue,Budget 2019-2020 Capital,_id,Type,Revised 2019-2020 Capital
25,37,37,...,37,37,34.99,"'25':1 '32':11,12 '34.99':7,8 '37':9,10,13,14 'forest':5 'indian':2 'institut':3 'manag':6",Indian Institute of Forest Management,32,34.99,...,32,...,74,,...
26,11,11,...,11,11,10,"'10':9,10,13,14 '11':11,12,15,16 '26':1 'indian':2 'industri':4 'institut':8 'plywood':3 'research':5 'train':7",Indian Plywood Industries Research and Training Institute,10,10,...,10,...,75,,...
27,34,34,...,34,34,33,"'27':1 '30':10,11 '33':6,7 '34':8,9,12,13 'india':5 'institut':3 'wildlif':2",Wildlife Institute of India,30,33,...,30,...,76,,...
,324.9,340,...,324.9,340,326.48,"'324.9':7,8 '326.48':5,6 '327':9,10 '340':11,12 'autonom':3 'bodi':4 'total':2 'total-autonom':1",Total-Autonomous Bodies,327,326.48,...,327,...,77,,...
,,,,,,,'other':1,Others,,,,,,78,,
28,...,...,...,...,...,-32.38,"'-32.38':4,5 '28':1 'actual':2 'recoveri':3",Actual Recoveries,...,-32.38,...,...,...,79,,...
,471.9,485.5,...,471.9,485.5,459.17,"'459.17':7,8 '464.5':11,12 '471.9':9,10 '485.5':13,14 'central':4 'expenditur':6 'sector':5 'total':2 'total-oth':1",Total-Other Central Sector Expenditure,464.5,459.17,...,464.5,...,80,,...
,,,,,,,'states/uts':3 'transfer':1,TRANSFERS TO STATES/UTs,,,,,,81,,
,,,,,,,'central':1 'scheme':3 'sponsor':2,Centrally Sponsored Schemes,,,,,,82,,
,,,,,,,'environ':1 'forestri':2 'wildlif':4,"Environment, Forestry and Wildlife",,,,,,83,,
29,,,,,,,'29':1 'green':6 'india':7 'mission':3 'nation':2,National Mission for a Green India,,,,,,84,,
29.01,179,246,...,179,246,175.82,"'175.82':9,10 '179':11,12,13,14 '246':15,16 '29.01':1 'afforest':7 'green':2 'india':3 'mission':5 'mission-n':4 'nation':6 'programm':8",Green India Mission-National Afforestation Programme,179,175.82,...,179,...,85,,...
29.02,11,15,...,11,15,1,"'1':10,11 '11':12,13,14,15 '15':16,17 '29.02':1 'afforest':6 'compon':9 'eap':8 'green':2 'india':3 'mission':4 'nation':5 'programm':7",Green India Mission- National Afforestation Programme (EAP Component),11,1,...,11,...,86,,...
29.03,50,50,...,50,50,46.58,"'29.03':1 '46.58':7,8 '47':11,12 '50':9,10,13,14 'fire':3 'forest':2 'manag':6 'prevent':4",Forest Fire Prevention and Management,47,46.58,...,47,...,87,,...
,240,311,...,240,311,223.4,"'223.4':8,9 '237':12,13 '240':10,11 '311':14,15 'green':6 'india':7 'mission':3 'nation':2 'total':1",Total- National Mission for a Green India,237,223.4,...,237,...,88,,...
30,,,,,,,'30':1 'develop':3 'habitat':6 'integr':2 'wildlif':5,Integrated Development of Wildlife Habitats,,,,,,89,,
30.01,350,300,...,350,300,323.44,"'282.57':8,9 '30.01':1 '300':10,11 '323.44':4,5 '350':6,7 'project':2 'tiger':3",Project Tiger,282.57,323.44,...,282.57,...,90,,...
30.02,30,35,...,30,35,29.75,"'29.75':4,5 '30':6,7 '30.02':1 '31':8,9 '35':10,11 'eleph':3 'project':2",Project Elephant,31,29.75,...,31,...,91,,...
30.03,175,148.41,...,175,148.41,164.59,"'148.41':12,13 '164.59':6,7 '175':8,9,10,11 '30.03':1 'develop':2 'habitat':5 'wildlif':4",Development of Wildlife Habitats,175,164.59,...,175,...,92,,...
30.04,5,48.59,...,5,48.59,10,"'10':8,9 '30.04':1 '48.59':14,15 '5':10,11,12,13 'compon':7 'develop':2 'eap':6 'habitat':5 'wildlif':4",Development of Wildlife Habitats (EAP Component),5,10,...,5,...,93,,...
,560,532,...,560,532,527.78,"'493.57':11,12 '527.78':7,8 '532':13,14 '560':9,10 'develop':3 'habitat':6 'integr':2 'total':1 'wildlif':5",Total- Integrated Development of Wildlife Habitats,493.57,527.78,...,493.57,...,94,,...
31,,,,,,,'31':1 'conserv':2 'ecosystem':7 'natur':4 'resourc':5,Conservation of Natural Resources and Ecosystems,,,,,,95,,
31.01,16,13,...,16,13,13,"'13':4,5,10,11 '16':6,7 '31.01':1 '9':8,9 'biodivers':2 'conserv':3",Biodiversity Conservation,9,13,...,9,...,96,,...
31.02,68.4,68.4,...,68.4,68.4,63.6,"'31.02':1 '45.4':10,11 '63.6':6,7 '68.4':8,9,12,13 'aquat':4 'conserv':2 'ecosystem':5",Conservation of Aquatic Ecosystems,45.4,63.6,...,45.4,...,97,,...
31.03,1.6,1.6,...,1.6,1.6,...,"'1.6':8,9,10,11,12,13 '31.03':1 'aquat':4 'compon':7 'conserv':2 'eap':6 'ecosystem':5",Conservation of Aquatic Ecosystems (EAP Component),1.6,...,...,1.6,...,98,,...
,86,83,...,86,83,76.6,"'56':12,13 '76.6':8,9 '83':14,15 '86':10,11 'conserv':2 'ecosystem':7 'natur':4 'resourc':5 'total':1",Total- Conservation of Natural Resources and Ecosystems,56,76.6,...,56,...,99,,...
32,,,,,,,'32':1 'conserv':4 'nation':2 'programm':5 'river':3,National River Conservation Programme,,,,,,100,,
32.01,...,...,...,...,...,143.5,"'143.5':4,5 '32.01':1 'compon':3 'programm':2",Programme Component,...,143.5,...,...,...,101,,...
32.02,...,...,...,...,...,6.83,"'32.02':1 '6.83':4,5 'compon':3 'eap':2",EAP Component,...,6.83,...,...,...,102,,...
,...,...,...,...,...,150.33,"'150.33':6,7 'conserv':4 'nation':2 'programm':5 'river':3 'total':1",Total- National River Conservation Programme,...,150.33,...,...,...,103,,...
,886,926,...,886,926,978.11,"'786.57':11,12 '886':9,10 '926':13,14 '978.11':7,8 'environ':3 'forestri':4 'total':2 'total-environ':1 'wildlif':6","Total-Environment, Forestry and Wildlife",786.57,978.11,...,786.57,...,104,,...
,886,926,...,886,926,978.11,"'786.57':10,11 '886':8,9 '926':12,13 '978.11':6,7 'central':3 'scheme':5 'sponsor':4 'total':2 'total-centr':1",Total-Centrally Sponsored Schemes,786.57,978.11,...,786.57,...,105,,...
,2890.2,3100,45.67,2954.72,2942.45,2585.57,'157.55':13 '2539.9':3 '2585.57':5 '2611.39':9 '2657.94':11 '2890.2':6 '2942.45':12 '2954.72':8 '3100':14 '45.67':4 '46.55':10 '64.52':7 'grand':1 'total':2,Grand Total,2657.94,2539.9,157.55,2611.39,64.52,106,,46.55
,,,,,,,'b':1 'development':2 'head':3,B. Developmental Heads,,,,,,107,,
,,,,,,,'econom':1 'servic':2,Economic Services,,,,,,108,,
1,680.8,599.19,...,680.8,599.19,662.25,"'1':1 '599.19':12,13 '662.25':6,7 '666.88':10,11 '680.8':8,9 'forestri':2 'life':5 'wild':4",Forestry and Wild Life,666.88,662.25,...,666.88,...,109,,...
2,1218.6,1227.26,...,1218.6,1227.26,803.25,"'1073.31':9,10 '1218.6':7,8 '1227.26':11,12 '2':1 '803.25':5,6 'ecolog':2 'environ':4",Ecology and Environment,1073.31,803.25,...,1073.31,...,110,,...
3,143,139,...,143,139,131.8,"'131.8':6,7 '137.25':10,11 '139':12,13 '143':8,9 '3':1 'econom':4 'secretariat':3 'secretariat-econom':2 'servic':5",Secretariat-Economic Services,137.25,131.8,...,137.25,...,111,,...
4,...,39.55,15.1,34.52,...,15.1,"'15.1':9,10 '19.55':13,14 '34.52':11,12 '39.55':15,16 '4':1 'capit':2 'forestri':5 'life':8 'outlay':3 'wild':7",Capital Outlay on Forestry and Wild Life,19.55,...,39.55,...,34.52,112,,19.55
5,...,118,30.57,30,...,30.57,"'118':16,17 '27':14,15 '30':12,13 '30.57':10,11 '5':1 'capit':2 'environment':8 'outlay':3 'research':9 'scientif':6",Capital Outlay on Other Scientific and Environmental Research,27,...,118,...,30,113,,27
,2042.4,2123,45.67,2106.92,1965.45,1642.97,'157.55':15 '1597.3':5 '1642.97':7 '1877.44':11 '1923.99':13 '1965.45':14 '2042.4':8 '2106.92':10 '2123':16 '45.67':6 '46.55':12 '64.52':9 'econom':3 'servic':4 'total':2 'total-econom':1,Total-Economic Services,1923.99,1597.3,157.55,1877.44,64.52,114,,46.55
,,,,,,,'other':1,Others,,,,,,115,,
6,181,180,...,181,180,...,"'165.5':7,8 '180':9,10 '181':5,6 '6':1 'area':4 'eastern':3 'north':2",North Eastern Areas,165.5,...,...,165.5,...,116,,...
7,665.3,795.5,...,665.3,795.5,936.17,"'567.95':13,14 '665.3':11,12 '7':1 '795.5':15,16 '936.17':9,10 'aid':5 'govern':8 'grant':3 'grants-in-aid':2 'state':7",Grants-in-aid to State Governments,567.95,936.17,...,567.95,...,117,,...
8,1.5,1.5,...,1.5,1.5,6.43,"'0.5':14,15 '1.5':12,13,16,17 '6.43':10,11 '8':1 'aid':5 'govern':9 'grant':3 'grants-in-aid':2 'territori':8 'union':7",Grants-in-aid to Union Territory Governments,0.5,6.43,...,0.5,...,118,,...
,847.8,977,...,847.8,977,942.6,"'733.95':8,9 '847.8':6,7 '942.6':4,5 '977':10,11 'other':3 'total':2 'total-oth':1",Total-Others,733.95,942.6,...,733.95,...,119,,...
,2890.2,3100,45.67,2954.72,2942.45,2585.57,'157.55':13 '2539.9':3 '2585.57':5 '2611.39':9 '2657.94':11 '2890.2':6 '2942.45':12 '2954.72':8 '3100':14 '45.67':4 '46.55':10 '64.52':7 'grand':1 'total':2,Grand Total,2657.94,2539.9,157.55,2611.39,64.52,120,,46.55
